2017-03-03:09:41,03/03/2017,09:41:00,a.m.,30.3,DATASET-GGY-WATERQ_Temp
2012-07-05:02:12,05/07/2012,02:12:00,p.m.,21.2,DATASET-GGY-WATERQ_Temp
2012-03-08:01:34,08/03/2012,01:34:00,p.m.,27.1,DATASET-GGY-WATERQ_Temp
2011-11-08:11:41,08/11/2011,11:41:00,a.m.,25.9,DATASET-GGY-WATERQ_Temp
2012-11-08:05:41,08/11/2012,05:41:00,p.m.,28.6,DATASET-GGY-WATERQ_Temp
2016-11-10:08:15,10/11/2016,08:15:00,a.m.,22.4,DATASET-GGY-WATERQ_Temp
2013-07-11:02:00,11/07/2013,02:00:00,p.m.,14.1,DATASET-GGY-WATERQ_Temp
2017-01-12:09:48,12/01/2017,09:48:00,a.m.,27.2,DATASET-GGY-WATERQ_Temp
2011-07-12:04:30,12/07/2011,04:30:00,p.m.,12.9,DATASET-GGY-WATERQ_Temp
2013-11-12:04:48,12/11/2013,04:48:00,p.m.,23.5,DATASET-GGY-WATERQ_Temp
2016-07-13:11:15,13/07/2016,11:15:00,a.m.,13.6,DATASET-GGY-WATERQ_Temp
2012-05-22:02:00,22/05/2012,02:00:00,p.m.,12.9,DATASET-GGY-WATERQ_Temp
2013-08-01:03:48,01/08/2013,03:48:00,p.m.,0.05,DATASET-PGY-WATERQ_Sal
2013-08-01:04:24,01/08/2013,04:24:00,p.m.,0.05,DATASET-PGY-WATERQ_Sal
2013-08-01:04:46,01/08/2013,04:46:00,p.m.,0.05,DATASET-PGY-WATERQ_Sal
2013-08-01:05:07,01/08/2013,05:07:00,p.m.,0.05,DATASET-PGY-WATERQ_Sal
2014-06-02:01:30,02/06/2014,01:30:00,p.m.,0.042,DATASET-PGY-WATERQ_Sal
2014-06-02:12:45,02/06/2014,12:45:00,p.m.,0.046,DATASET-PGY-WATERQ_Sal
2012-11-02:10:45,02/11/2012,10:45:00,a.m.,0.06,DATASET-PGY-WATERQ_Sal
2012-11-02:11:15,02/11/2012,11:15:00,a.m.,0.06,DATASET-PGY-WATERQ_Sal
2012-11-02:11:33,02/11/2012,11:33:00,a.m.,0.06,DATASET-PGY-WATERQ_Sal
2012-11-02:11:56,02/11/2012,11:56:00,a.m.,0.08,DATASET-PGY-WATERQ_Sal
2012-01-05:05:55,05/01/2012,05:55:00,p.m.,0.11,DATASET-PGY-WATERQ_Sal
2013-02-05:06:32,05/02/2013,06:32:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2013-02-05:06:58,05/02/2013,06:58:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2013-02-05:07:18,05/02/2013,07:18:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2013-02-05:07:36,05/02/2013,07:36:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2014-08-07:11:30,07/08/2014,11:30:00,a.m.,0.042,DATASET-PGY-WATERQ_Sal
2014-08-07:11:50,07/08/2014,11:50:00,a.m.,0.043,DATASET-PGY-WATERQ_Sal
2011-08-16:05:38,16/08/2011,05:38:00,p.m.,0.03,DATASET-PGY-WATERQ_Sal
2011-08-16:05:58,16/08/2011,05:58:00,p.m.,0.035,DATASET-PGY-WATERQ_Sal
2011-08-16:06:18,16/08/2011,06:18:00,p.m.,0.04,DATASET-PGY-WATERQ_Sal
2012-06-20:02:20,20/06/2012,02:20:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2012-06-20:02:38,20/06/2012,02:38:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2012-06-20:02:57,20/06/2012,02:57:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2012-06-20:03:15,20/06/2012,03:15:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2011-02-22:01:01,22/02/2011,01:01:00,p.m.,0.04,DATASET-PGY-WATERQ_Sal
2011-02-22:01:35,22/02/2011,01:35:00,p.m.,0.04,DATASET-PGY-WATERQ_Sal
2011-02-22:01:56,22/02/2011,01:56:00,p.m.,0.04,DATASET-PGY-WATERQ_Sal
2011-02-22:02:05,22/02/2011,02:05:00,p.m.,0.04,DATASET-PGY-WATERQ_Sal
2013-04-22:06:29,22/04/2013,06:29:00,p.m.,0.04,DATASET-PGY-WATERQ_Sal
2013-04-22:06:50,22/04/2013,06:50:00,p.m.,0.04,DATASET-PGY-WATERQ_Sal
2012-08-22:05:07,22/08/2012,05:07:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2012-08-22:05:25,22/08/2012,05:25:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2012-08-22:05:47,22/08/2012,05:47:00,p.m.,0.07,DATASET-PGY-WATERQ_Sal
2013-11-26:01:03,26/11/2013,01:03:00,p.m.,0.05,DATASET-PGY-WATERQ_Sal
2013-11-26:12:28,26/11/2013,12:28:00,p.m.,0.05,DATASET-PGY-WATERQ_Sal
